Source,Target,Type,Id,Label,Weight
236,186,Directed,5038,,1
122,285,Directed,5039,,1
24,346,Directed,5040,,1
271,304,Directed,5041,,1
176,9,Directed,5042,,1
130,329,Directed,5043,,1
204,213,Directed,5044,,1
252,332,Directed,5045,,1
82,65,Directed,5046,,1
276,26,Directed,5047,,1
280,272,Directed,5048,,1
211,199,Directed,5049,,1
84,236,Directed,5050,,1
133,62,Directed,5051,,1
239,172,Directed,5052,,1
322,53,Directed,5053,,1
3,170,Directed,5054,,1
175,46,Directed,5055,,1
170,176,Directed,5056,,1
170,56,Directed,5057,,1
254,194,Directed,5058,,1
231,117,Directed,5059,,1
127,135,Directed,5060,,1
285,103,Directed,5061,,1
188,133,Directed,5062,,1
23,116,Directed,5063,,1
73,299,Directed,5064,,1
288,315,Directed,5065,,1
119,323,Directed,5066,,1
48,57,Directed,5067,,1
200,98,Directed,5068,,1
313,63,Directed,5069,,1
199,304,Directed,5070,,1
53,346,Directed,5071,,1
344,239,Directed,5072,,1
56,67,Directed,5073,,1
118,325,Directed,5074,,1
188,119,Directed,5075,,1
26,277,Directed,5076,,1
134,56,Directed,5077,,1
270,76,Directed,5078,,1
135,36,Directed,5079,,1
223,170,Directed,5080,,1
170,274,Directed,5081,,1
88,21,Directed,5082,,1
339,119,Directed,5083,,1
108,197,Directed,5084,,1
169,271,Directed,5085,,1
62,236,Directed,5086,,1
275,273,Directed,5087,,1
88,186,Directed,5088,,1
213,186,Directed,5089,,1
83,23,Directed,5090,,1
28,312,Directed,5091,,1
242,57,Directed,5092,,1
214,20,Directed,5093,,1
307,71,Directed,5094,,1
20,333,Directed,5095,,1
207,322,Directed,5096,,1
339,168,Directed,5097,,1
308,277,Directed,5098,,1
186,341,Directed,5099,,1
322,122,Directed,5100,,1
128,9,Directed,5101,,1
334,252,Directed,5102,,1
238,265,Directed,5103,,1
67,141,Directed,5104,,1
78,273,Directed,5105,,1
345,122,Directed,5106,,1
315,345,Directed,5107,,1
317,158,Directed,5108,,1
98,21,Directed,5109,,1
339,38,Directed,5110,,1
24,302,Directed,5111,,1
27,54,Directed,5112,,1
197,139,Directed,5113,,1
109,118,Directed,5114,,1
252,291,Directed,5115,,1
170,142,Directed,5116,,1
82,271,Directed,5117,,1
203,332,Directed,5118,,1
105,9,Directed,5119,,1
232,285,Directed,5120,,1
64,217,Directed,5121,,1
239,62,Directed,5122,,1
248,332,Directed,5123,,1
73,126,Directed,5124,,1
224,261,Directed,5125,,1
283,3,Directed,5126,,1
144,226,Directed,5127,,1
119,48,Directed,5128,,1
290,25,Directed,5129,,1
172,342,Directed,5130,,1
119,170,Directed,5131,,1
285,146,Directed,5132,,1
300,94,Directed,5133,,1
236,142,Directed,5134,,1
346,1,Directed,5135,,1
184,159,Directed,5136,,1
159,139,Directed,5137,,1
53,299,Directed,5138,,1
